Sender Name,Recipient Name,Timestamp
46708275344@s.whatsapp.net,46708275344@s.whatsapp.net,1 days 19:12:51.500000
46708275344@s.whatsapp.net,Goldfinger,2 days 00:03:20.750000
46708275344@s.whatsapp.net,Stockholm Stealers,0 days 04:04:42.366972477
Bad Boy,Bad Boy,
Bad Boy,Dadusko,
Bad Boy,Goose,0 days 14:20:18.964285714
Bad Boy,Goose System,2 days 07:31:39.333333333
Bad Boy,Maverick SOB,0 days 07:13:55.689075630
Bad Boy,Twilight Grey,1 days 02:33:12.035714285
Big Boss,Big Boss,0 days 19:34:50.727272727
Big Boss,Goose,0 days 21:33:34.033333333
Big Boss,Maverick SOB,1 days 05:07:48.594594594
Big Boss,Twilight G,0 days 23:52:47
Dadusko,Goose,
Dadusko,Maverick SOB,0 days 00:35:27.500000
Goldfinger,46708275344@s.whatsapp.net,
Goldfinger,Bad Boy,0 days 20:06:52.071428571
Goldfinger,Goldfinger,1 days 04:08:04.571428571
Goldfinger,Goose System,1 days 05:17:39.343750
Goldfinger,Maverick,0 days 16:57:13.900000
Goldfinger,Maverick SOB,2 days 05:12:21.250000
Goldfinger,Rupert Beae,
Goldfinger,Stockholm Stealers,0 days 07:33:23.188034188
Goldfinger,Twilight Grey,0 days 07:00:22.743902439
Goldfinger SOB,Big Boss,
Goldy Finger,Goldy Finger,3 days 11:23:19.500000
Goldy Finger,Gooooosssse,1 days 03:03:39.538461538
Goldy Finger,Goose System,1 days 05:41:52.757575757
Goldy Finger,Goose.4444,1 days 10:05:17.111111111
Goldy Finger,Jose Topgun,1 days 00:33:19.724137931
Goldy Finger,Maverick.4444,1 days 18:07:40.700000
Goldy Finger,Michael Jonson,
Goldy Finger,Rupert Beae,0 days 14:34:34.456140350
Goldy Finger,maverick,1 days 12:37:08.500000
Gooooosssse,Maverick.4444,0 days 07:39:00.583333333
Gooooosssse,Mike.Jonson,
Gooooosssse,TwilightGrey,0 days 00:00:47
Gooooosssse,ladyancy96,0 days 08:31:55
Gooooosssse,u44afa6f6317115c622a22eaac029f7f9,
Goose,Bad Boy,1 days 19:44:02.176470588
Goose,Goldfinger,1 days 11:28:38.600000
Goose,Goose,0 days 07:25:30.500000
Goose,Goose System,1 days 15:01:25.500000
Goose,Maverick SOB,0 days 23:57:49.500000
Goose,Twilight G,1 days 08:31:58.260869565
Goose,Twilight Grey,0 days 07:27:07.153846153
Goose System,Goldfinger,2 days 07:00:05.411764705
Goose System,Goldy Finger,0 days 21:22:11.113636363
Goose System,Goose System,0 days 23:21:12.928571428
Goose System,Maverick,1 days 05:13:55.484848484
Goose System,Mike Jonson,0 days 06:35:17.142857142
Goose System,Stockholm Stealers,0 days 06:15:12.251851851
Goose System,Twilight Grey,0 days 08:58:04.723809523
Goose.4444,1224624669,0 days 07:58:45.333333333
Goose.4444,Goose,
Goose.4444,Maverick,1 days 04:12:11.300000
Goose.4444,u44afa6f6317115c622a22eaac029f7f9,0 days 03:36:44.833333333
Jose Topgun,Goldy Finger,0 days 21:18:28.902439024
Jose Topgun,Jose Topgun,0 days 10:53:47.111111111
Jose Topgun,Michael Jonson,0 days 07:55:30
Jose Topgun,Rupert Beae,0 days 20:38:04.837209302
Jose Topgun,Twi Grey,6 days 16:14:45.666666666
Jose Topgun,maverick,0 days 00:05:51
KakaoKalk,u44afa6f6317115c622a22eaac029f7f9,0 days 00:00:00
KakaoTalk,Maverick.4444,
Maverick,Big Boss,0 days 05:47:21.062500
Maverick,Goldfinger,0 days 10:41:31.444444444
Maverick,Goose System,0 days 19:02:20.500000
Maverick,Maverick,0 days 18:13:01.735849056
Maverick,Maverick SOB,0 days 11:31:18.300000
Maverick,Mike Jonson,0 days 22:10:41.500000
Maverick,Twilight Grey,0 days 06:21:54.870967741
Maverick SOB,Bad Boy,0 days 04:45:26.129032258
Maverick SOB,Big Boss,0 days 14:04:04.241379310
Maverick SOB,Dadusko,0 days 00:01:36
Maverick SOB,Goldfinger,1 days 14:10:43.750000
Maverick SOB,Goose,0 days 15:12:11.042253521
Maverick SOB,Goose System,3 days 01:19:12.571428571
Maverick SOB,Maverick SOB,0 days 06:22:52.715909090
Maverick SOB,Twilight G,1 days 03:21:22.861111111
Maverick SOB,Twilight Grey,0 days 13:32:31.725806451
Maverick.4444,1224624669,2 days 01:56:36.100000
Maverick.4444,Big Boss,1 days 01:16:30.055555555
Maverick.4444,Maverick,0 days 20:50:01.400000
Maverick.4444,Maverick SOB,2 days 11:29:17.875000
Maverick.4444,Mike.Jonson,11 days 23:38:42
Maverick.4444,Twilight Grey,
Maverick.4444,u44afa6f6317115c622a22eaac029f7f9,0 days 05:36:07.500000
Michael Jonson,Goldy Finger,2 days 10:07:41.352941176
Michael Jonson,Rupert Beae,3 days 04:01:00.846153846
Mike.Jonson,Big Boss,
Mike.Jonson,Maverick SOB,14 days 22:24:58
Mike.Jonson,Maverick.4444,7 days 11:12:29
Mike.Jonson,blondtrip24,0 days 00:08:34
Rupert Beae,Goldy Finger,0 days 17:38:31.400000
Rupert Beae,Gooooosssse,1 days 03:57:55.583333333
Rupert Beae,Goose.4444,1 days 15:59:36.650000
Rupert Beae,Jose Topgun,1 days 02:56:08.750000
Rupert Beae,Maverick.4444,1 days 23:03:24.823529411
Rupert Beae,Rupert Beae,1 days 17:40:51
Rupert Beae,Twi Grey,2 days 05:32:27.900000
Rupert Beae,TwilightGrey,2 days 12:41:07
Rupert Beae,maverick,1 days 03:28:54.076923076
Telegram,Bad Boy,8 days 01:34:15
Telegram,Maverick SOB,
Telegram,Twilight G,21 days 18:08:06
Twi Grey,Goldy Finger,2 days 03:44:18
Twi Grey,Goose.4444,7 days 05:58:21
Twi Grey,Maverick.4444,5 days 15:42:39.400000
Twi Grey,Michael Jonson,
Twi Grey,Rupert Beae,8 days 07:46:54
