,,Correlation
46708275344@s.whatsapp.net,Goose System,0.8948826601713498
46708275344@s.whatsapp.net,Maverick,0.9447038455114181
46708275344@s.whatsapp.net,Maverick SOB,0.925108905467873
Bad Boy,Maverick SOB,0.80835522105156
Big Boss,Goose,0.8058201778984088
Big Boss,Goose System,0.8682657155460163
Big Boss,Maverick,0.9044652169417096
Big Boss,Maverick SOB,0.8392796426331175
Goldfinger,Goldy Finger,0.859785665372796
Goldfinger SOB,Goose System,0.8068289550122998
Goldfinger SOB,Goose.4444,0.8535444574184738
Goldfinger SOB,TwilightGrey,0.9207368843792509
Goldy Finger,Goldfinger,0.859785665372796
Gooooosssse,maverick,0.8537876351105276
Goose,Big Boss,0.8058201778984087
Goose,Goose System,0.8639769181537761
Goose,Maverick,0.8367302631549799
Goose,Maverick SOB,0.8901371800943274
Goose System,46708275344@s.whatsapp.net,0.8948826601713497
Goose System,Big Boss,0.8682657155460163
Goose System,Goldfinger SOB,0.8068289550122999
Goose System,Goose,0.863976918153776
Goose System,Maverick,0.9557157833196778
Goose System,Maverick SOB,0.9492696387035545
Goose System,TwilightGrey,0.8357896510280821
Goose.4444,Goldfinger SOB,0.8535444574184737
Goose.4444,TwilightGrey,0.8633189814778363
KakaoTalk,Michael Jonson,0.9020564373043639
Maverick,46708275344@s.whatsapp.net,0.944703845511418
Maverick,Big Boss,0.9044652169417096
Maverick,Goose,0.8367302631549799
Maverick,Goose System,0.9557157833196777
Maverick,Maverick SOB,0.9417528785476961
Maverick,TwilightGrey,0.8236421388478289
Maverick SOB,46708275344@s.whatsapp.net,0.9251089054678729
Maverick SOB,Bad Boy,0.8083552210515601
Maverick SOB,Big Boss,0.8392796426331175
Maverick SOB,Goose,0.8901371800943273
Maverick SOB,Goose System,0.9492696387035545
Maverick SOB,Maverick,0.9417528785476961
Michael Jonson,KakaoTalk,0.9020564373043639
Mike.Jonson,blondtrip24,0.8773380669666366
TwilightGrey,Goldfinger SOB,0.9207368843792508
TwilightGrey,Goose System,0.8357896510280821
TwilightGrey,Goose.4444,0.8633189814778363
TwilightGrey,Maverick,0.8236421388478289
blondtrip24,Mike.Jonson,0.8773380669666366
maverick,Gooooosssse,0.8537876351105277
