Sender Name,Recipient Name,Timestamp
46708275344@s.whatsapp.net,Goldfinger,0 days 22:44:39.736842105
46708275344@s.whatsapp.net,Stockholm Stealers,0 days 04:04:42.366972477
Bad Boy,Bad Boy,
Bad Boy,Maverick SOB,0 days 04:40:48.521276595
Big Boss,Maverick SOB,0 days 13:26:36.243902439
Dadusko,Maverick SOB,0 days 00:23:38.333333333
Goldfinger,46708275344@s.whatsapp.net,1 days 19:17:57.363636363
Goldfinger,Goose System,1 days 20:45:34.545454545
Goldfinger,Maverick,1 days 19:17:57.363636363
Goldfinger,Maverick SOB,0 days 18:30:23.478260869
Goldfinger,Stockholm Stealers,0 days 07:33:23.188034188
Goldfinger,Twilight Grey,0 days 07:26:15.604651162
Goldy Finger,Goose System,1 days 05:41:52.757575757
Goldy Finger,Jose Topgun,1 days 06:57:40.521739130
Goldy Finger,Rupert Beae,0 days 09:32:54.482758620
Gooooosssse,maverick,0 days 05:13:51.590909090
Goose,Maverick SOB,0 days 08:51:51.933962264
Goose System,Goldfinger,1 days 16:52:07.625000
Goose System,Goldy Finger,0 days 21:22:11.113636363
Goose System,Maverick,0 days 20:32:33
Goose System,Stockholm Stealers,0 days 06:15:12.251851851
Goose System,Twilight Grey,0 days 06:15:12.251851851
Goose.4444,Maverick.4444,0 days 17:50:35.214285714
Jose Topgun,Goldy Finger,1 days 07:44:44.954545454
Jose Topgun,Rupert Beae,2 days 07:28:04.375000
KakaoKalk,maverick,0 days 00:00:00
KakaoTalk,maverick,
Maverick,Goldfinger,1 days 01:04:03.842105263
Maverick,Goose System,0 days 20:06:53.708333333
Maverick,Maverick,0 days 00:00:05.600000
Maverick,Mike Jonson,3 days 12:38:06.500000
Maverick,Twilight Grey,0 days 03:33:54.471264367
Maverick,u44afa6f6317115c622a22eaac029f7f9,0 days 05:29:11.904761904
Maverick SOB,Bad Boy,0 days 03:47:33.254310344
Maverick SOB,Big Boss,0 days 09:21:42.808333333
Maverick SOB,Dadusko,2 days 22:39:01.500000
Maverick SOB,Goldfinger,0 days 09:53:55.883720930
Maverick SOB,Goose,0 days 07:03:50.842105263
Maverick SOB,Maverick SOB,
Maverick SOB,Twilight G,0 days 15:01:21.546875
Maverick.4444,Goose.4444,0 days 15:08:09.090909090
Maverick.4444,Mike.Jonson,3 days 23:52:54
Maverick.4444,TwilightGrey,2 days 20:00:10
Maverick.4444,ladyancy96,0 days 00:03:52.611111111
Michael Jonson,Rupert Beae,1 days 07:52:41
Mike Jonson,Maverick,4 days 09:31:04.625000
Mike.Jonson,Maverick.4444,2 days 23:40:59.600000
Mike.Jonson,blondtrip24,0 days 00:08:34
Rupert Beae,Goldy Finger,0 days 07:37:35.598130841
Rupert Beae,Jose Topgun,1 days 20:21:31.600000
Rupert Beae,Michael Jonson,8 days 11:43:30.250000
Rupert Beae,Twi Grey,1 days 23:08:54.642857142
Telegram,Bad Boy,8 days 01:34:15
Telegram,Maverick SOB,16 days 09:17:43.500000
Twi Grey,Rupert Beae,2 days 20:10:08.800000
Twilight G,Maverick SOB,0 days 23:27:19.390243902
Twilight Grey,Goldfinger,3 days 00:07:50.875000
Twilight Grey,Goose System,0 days 10:27:08.702380952
Twilight Grey,Maverick,1 days 06:50:54.483870967
Twilight Grey,Stockholm Stealers,0 days 10:27:08.702380952
TwilightGrey,Maverick.4444,3 days 07:19:28.333333333
Unmatched Telegram User,1224624669,1 days 16:53:40.200000
blondtrip24,Mike.Jonson,0 days 00:09:23.545454545
kikteam,Maverick.4444,0 days 00:00:02.500000
ladyancy96,Maverick.4444,0 days 00:04:50.714285714
maverick,Gooooosssse,0 days 05:15:40.923076923
status@broadcast,Goldfinger,0 days 00:00:00
status@broadcast,Maverick,0 days 06:10:22.444444444
