Sender Name,Preferred Activity Time
46708275344@s.whatsapp.net,18
Bad Boy,18
Big Boss,18
Dadusko,10
Goldfinger,20
Goldfinger SOB,18
Goldy Finger,8
Gooooosssse,11
Goose,18
Goose System,18
Goose.4444,18
Jose Topgun,17
KakaoKalk,7
KakaoTalk,22
Maverick,18
Maverick SOB,18
Maverick.4444,18
Michael Jonson,22
Mike Jonson,14
Mike.Jonson,12
Rupert Beae,19
Telegram,18
Twi Grey,20
Twilight G,20
Twilight Grey,20
TwilightGrey,18
Unmatched Telegram User,9
blondtrip24,12
kikteam,19
ladyancy96,10
maverick,18
status@broadcast,14
