,,Correlation
46708275344@s.whatsapp.net,Bad Boy,0.7235655333169766
46708275344@s.whatsapp.net,Big Boss,0.786372666732467
46708275344@s.whatsapp.net,Dadusko,-0.12845869072885
46708275344@s.whatsapp.net,Goldfinger,0.5891970806384486
46708275344@s.whatsapp.net,Goldfinger SOB,0.5887367834992749
46708275344@s.whatsapp.net,Goldy Finger,0.5366673667172503
46708275344@s.whatsapp.net,Gooooosssse,0.17209655519804642
46708275344@s.whatsapp.net,Goose,0.7982536669818557
46708275344@s.whatsapp.net,Goose System,0.8948826601713498
46708275344@s.whatsapp.net,Goose.4444,0.5931882272374411
46708275344@s.whatsapp.net,Jose Topgun,0.6756668458599677
46708275344@s.whatsapp.net,KakaoKalk,-0.17948089547214083
46708275344@s.whatsapp.net,KakaoTalk,-0.21695492859269766
46708275344@s.whatsapp.net,Maverick,0.9447038455114181
46708275344@s.whatsapp.net,Maverick SOB,0.925108905467873
46708275344@s.whatsapp.net,Maverick.4444,0.5426835682698142
46708275344@s.whatsapp.net,Michael Jonson,-0.1719643917371541
46708275344@s.whatsapp.net,Mike Jonson,0.391350216613467
46708275344@s.whatsapp.net,Mike.Jonson,-0.04159420199802983
46708275344@s.whatsapp.net,Rupert Beae,0.6735903459808368
46708275344@s.whatsapp.net,Telegram,0.696896498361496
46708275344@s.whatsapp.net,Twi Grey,0.37724383452160537
46708275344@s.whatsapp.net,Twilight G,0.437998792795796
46708275344@s.whatsapp.net,Twilight Grey,0.5528182835626287
46708275344@s.whatsapp.net,TwilightGrey,0.6613345455756902
46708275344@s.whatsapp.net,Unmatched Telegram User,0.15076004172195206
46708275344@s.whatsapp.net,blondtrip24,-0.024988927684105874
46708275344@s.whatsapp.net,kikteam,0.5512627503787181
46708275344@s.whatsapp.net,ladyancy96,-0.08480345531984292
46708275344@s.whatsapp.net,maverick,0.28868315203732187
46708275344@s.whatsapp.net,status@broadcast,-0.026626286690921982
Bad Boy,46708275344@s.whatsapp.net,0.7235655333169766
Bad Boy,Big Boss,0.5226603315218925
Bad Boy,Dadusko,-0.25297688704032967
Bad Boy,Goldfinger,0.5612851681866908
Bad Boy,Goldfinger SOB,0.7472102504136023
Bad Boy,Goldy Finger,0.5091405857024909
Bad Boy,Gooooosssse,0.48255530837364785
Bad Boy,Goose,0.7086045394668459
Bad Boy,Goose System,0.75814050899036
Bad Boy,Goose.4444,0.6194537773843157
Bad Boy,Jose Topgun,0.5183625560397518
Bad Boy,KakaoKalk,-0.1966342764246322
Bad Boy,KakaoTalk,-0.15730742113970575
Bad Boy,Maverick,0.7413275625743133
Bad Boy,Maverick SOB,0.80835522105156
Bad Boy,Maverick.4444,0.5613367792314183
Bad Boy,Michael Jonson,-0.14553017627161788
Bad Boy,Mike Jonson,0.23391168708764173
Bad Boy,Mike.Jonson,0.3132883054027149
Bad Boy,Rupert Beae,0.42242416273939565
Bad Boy,Telegram,0.7305080254922885
Bad Boy,Twi Grey,0.1385966998622076
Bad Boy,Twilight G,0.20186989592550816
Bad Boy,Twilight Grey,0.3168091735307022
Bad Boy,TwilightGrey,0.6281593389905766
Bad Boy,Unmatched Telegram User,0.06042345417905403
Bad Boy,blondtrip24,0.21615889333602364
Bad Boy,kikteam,0.01966342764246322
Bad Boy,ladyancy96,-0.044792878969787245
Bad Boy,maverick,0.5819995206253297
Bad Boy,status@broadcast,-0.1348349324054621
Big Boss,46708275344@s.whatsapp.net,0.786372666732467
Big Boss,Bad Boy,0.5226603315218925
Big Boss,Dadusko,-0.10417877696606653
Big Boss,Goldfinger,0.33497931463844555
Big Boss,Goldfinger SOB,0.6357389682975264
Big Boss,Goldy Finger,0.34944986570924913
Big Boss,Gooooosssse,0.2822330954661147
Big Boss,Goose,0.8058201778984088
Big Boss,Goose System,0.8682657155460163
Big Boss,Goose.4444,0.6393138948984589
Big Boss,Jose Topgun,0.5707553219253855
Big Boss,KakaoKalk,-0.16698207078700852
Big Boss,KakaoTalk,0.02414198613788077
Big Boss,Maverick,0.9044652169417096
Big Boss,Maverick SOB,0.8392796426331175
Big Boss,Maverick.4444,0.5397562073710048
Big Boss,Michael Jonson,0.05834326505522382
Big Boss,Mike Jonson,0.13354223671349671
Big Boss,Mike.Jonson,-0.14262606208316933
Big Boss,Rupert Beae,0.7300970577013387
Big Boss,Telegram,0.7046986066972346
Big Boss,Twi Grey,0.392665394760768
Big Boss,Twilight G,0.5138994215332644
Big Boss,Twilight Grey,0.6793801716605034
Big Boss,TwilightGrey,0.7934578451539659
Big Boss,Unmatched Telegram User,0.04044142826124697
Big Boss,blondtrip24,-0.2189104377757024
Big Boss,kikteam,0.6357389682975264
Big Boss,ladyancy96,-0.15066322658295947
Big Boss,maverick,0.4343929622782353
Big Boss,status@broadcast,-0.18796260635921438
Dadusko,46708275344@s.whatsapp.net,-0.12845869072885
Dadusko,Bad Boy,-0.2529768870403297
Dadusko,Big Boss,-0.10417877696606653
Dadusko,Goldfinger,-0.08817205357100706
Dadusko,Goldfinger SOB,-0.0714741689891863
Dadusko,Goldy Finger,0.12956442207352364
Dadusko,Gooooosssse,-0.1545696830428667
Dadusko,Goose,-0.1454019313650883
Dadusko,Goose System,-0.04640341722837867
Dadusko,Goose.4444,-0.14607949895422265
Dadusko,Jose Topgun,0.08285716030250105
Dadusko,KakaoKalk,-0.07147416898918633
Dadusko,KakaoTalk,-0.07147416898918635
Dadusko,Maverick,-0.10921970405480827
Dadusko,Maverick SOB,-0.22454720298289285
Dadusko,Maverick.4444,0.38158166688116235
Dadusko,Michael Jonson,-0.17272963219023751
Dadusko,Mike Jonson,-0.1530432982478543
Dadusko,Mike.Jonson,-0.13682834112396472
Dadusko,Rupert Beae,-0.038016903151228035
Dadusko,Telegram,-0.14589603651080288
Dadusko,Twi Grey,0.04121853993327595
Dadusko,Twilight G,-0.14302345929207552
Dadusko,Twilight Grey,0.04395935957271119
Dadusko,TwilightGrey,-0.03862696519684538
Dadusko,Unmatched Telegram User,0.37291668092175767
Dadusko,blondtrip24,-0.15314711755274835
Dadusko,kikteam,-0.07147416898918632
Dadusko,ladyancy96,0.7682911595147685
Dadusko,maverick,-0.14913428876177118
Dadusko,status@broadcast,-0.12252714683860523
Goldfinger,46708275344@s.whatsapp.net,0.5891970806384484
Goldfinger,Bad Boy,0.5612851681866909
Goldfinger,Big Boss,0.33497931463844555
Goldfinger,Dadusko,-0.08817205357100708
Goldfinger,Goldfinger SOB,0.29317542012520725
Goldfinger,Goldy Finger,0.859785665372796
Goldfinger,Gooooosssse,-0.06828868398348367
Goldfinger,Goose,0.44430092170347213
Goldfinger,Goose System,0.5307260800753203
Goldfinger,Goose.4444,0.25505339586980014
Goldfinger,Jose Topgun,0.6565865427839039
Goldfinger,KakaoKalk,-0.3036459708439647
Goldfinger,KakaoTalk,-0.14087650057964504
Goldfinger,Maverick,0.5222548844065332
Goldfinger,Maverick SOB,0.565278578878226
Goldfinger,Maverick.4444,0.1242023253480502
Goldfinger,Michael Jonson,-0.014017778921648663
Goldfinger,Mike Jonson,0.21899086867567283
Goldfinger,Mike.Jonson,0.2552301125735647
Goldfinger,Rupert Beae,0.5925631654415795
Goldfinger,Telegram,0.45815773130212273
Goldfinger,Twi Grey,0.5656462483977245
Goldfinger,Twilight G,0.5001176671431268
Goldfinger,Twilight Grey,0.5874099475928528
Goldfinger,TwilightGrey,0.25835343411632455
Goldfinger,Unmatched Telegram User,0.014868657337770777
Goldfinger,blondtrip24,0.2979531584978876
Goldfinger,kikteam,0.0942349564688166
Goldfinger,ladyancy96,-0.16967229657504695
Goldfinger,maverick,0.08201935234608093
Goldfinger,status@broadcast,0.05303265948461539
Goldfinger SOB,46708275344@s.whatsapp.net,0.588736783499275
Goldfinger SOB,Bad Boy,0.7472102504136022
Goldfinger SOB,Big Boss,0.6357389682975265
Goldfinger SOB,Dadusko,-0.07147416898918632
Goldfinger SOB,Goldfinger,0.2931754201252073
Goldfinger SOB,Goldy Finger,0.3721667349695454
Goldfinger SOB,Gooooosssse,0.3761034844843336
Goldfinger SOB,Goose,0.6629137341509671
Goldfinger SOB,Goose System,0.8068289550122998
Goldfinger SOB,Goose.4444,0.8535444574184738
Goldfinger SOB,Jose Topgun,0.47871462827122574
Goldfinger SOB,KakaoKalk,-0.055555555555555546
Goldfinger SOB,KakaoTalk,-0.05555555555555555
Goldfinger SOB,Maverick,0.7368198847504304
Goldfinger SOB,Maverick SOB,0.666772756423352
Goldfinger SOB,Maverick.4444,0.6832199906713015
Goldfinger SOB,Michael Jonson,-0.13425956276157974
Goldfinger SOB,Mike Jonson,0.13217526428635737
Goldfinger SOB,Mike.Jonson,-0.10635415023904651
