Sender;Date;Ngram;Count
Bad Boy;2021-03-10;of your gear;1
Bad Boy;2021-03-10;your gear if;1
Bad Boy;2021-03-10;gear if you;1
Bad Boy;2021-03-10;downloaded this shit;1
Bad Boy;2021-03-10;this shit off;1
Bad Boy;2021-03-10;shit off the;1
Bad Boy;2021-03-12;me useless shit;1
Bad Boy;2021-03-12;useless shit and;1
Bad Boy;2021-03-12;shit and let;1
Bad Boy;2021-03-16;in cheap gear;1
Bad Boy;2021-03-16;cheap gear and;1
Bad Boy;2021-03-16;gear and occasionally;1
Bad Boy;2021-03-19;meet up today;1
Bad Boy;2021-03-19;up today for;1
Bad Boy;2021-03-19;today for the;1
Bad Boy;2021-03-19;bring the gear;1
Bad Boy;2021-03-19;the gear and;1
Bad Boy;2021-03-19;gear and you;1
Bad Boy;2021-03-19;bring the money;1
Bad Boy;2021-03-19;the money .;1
Bad Boy;2021-03-19;money . By;1
Bad Boy;2021-03-21;you 1000kr tomorrow;1
Bad Boy;2021-03-21;1000kr tomorrow I;1
Bad Boy;2021-03-21;tomorrow I guess;1
Bad Boy;2021-03-25;need another delivery;1
Bad Boy;2021-03-25;another delivery in;1
Bad Boy;2021-03-25;delivery in 2;1
Bad Boy;2021-03-27;sell this shit;1
Bad Boy;2021-03-27;this shit all;1
Bad Boy;2021-03-27;shit all day;1
Bad Boy;2021-03-27;me a delivery;1
Bad Boy;2021-03-27;a delivery date;1
Bad Boy;2021-03-27;delivery date please;1
Bad Boy;2021-03-28;Got any gear;1
Bad Boy;2021-03-28;any gear ?;1
Bad Boy;2021-03-28;gear ? ?;1
Bad Boy;2021-03-29;we meet tomorrow;1
Bad Boy;2021-03-29;meet tomorrow at;1
Bad Boy;2021-03-29;tomorrow at location;1
Bad Boy;2021-03-29;Barkaby Coop tomorrow;1
Bad Boy;2021-03-29;Coop tomorrow night;1
Bad Boy;2021-03-29;tomorrow night .;1
Bad Boy;2021-03-30;got the gear;1
Bad Boy;2021-03-30;the gear ?;1
Bad Boy;2021-03-30;gear ? ?;1
Bad Boy;2021-04-01;sure the gear;1
Bad Boy;2021-04-01;the gear keeps;1
Bad Boy;2021-04-01;gear keeps flowing;1
Maverick SOB;2021-03-10;this stolen gear;1
Maverick SOB;2021-03-10;stolen gear .;1
Maverick SOB;2021-03-10;gear . There;1
Maverick SOB;2021-03-16;heard that shit;1
Maverick SOB;2021-03-16;that shit before;1
Maverick SOB;2021-03-16;shit before .;1
Maverick SOB;2021-03-19;a regular parcel;1
Maverick SOB;2021-03-19;regular parcel .;1
Maverick SOB;2021-03-19;parcel . That;1
Maverick SOB;2021-03-20;... nan $;1
Maverick SOB;2021-03-20;nan $ 110,000;1
Maverick SOB;2021-03-20;$ 110,000 allowing;1
Maverick SOB;2021-03-21;all stolen gear;1
Maverick SOB;2021-03-21;stolen gear ?;1
Maverick SOB;2021-03-21;gear ? Seriously;1
Maverick SOB;2021-03-24;get the delivery;1
Maverick SOB;2021-03-24;the delivery of;1
Maverick SOB;2021-03-24;delivery of powder;1
Maverick SOB;2021-03-29;See you tomorrow;1
