User 1,User 2,Similarity
46708275344@s.whatsapp.net,Maverick,0.9872
Maverick,Maverick SOB,0.9356
Goose System,Maverick,0.9298
Michael Jonson,status@broadcast,0.9197
Goose System,Maverick SOB,0.9177
46708275344@s.whatsapp.net,Goose System,0.9126
46708275344@s.whatsapp.net,Maverick SOB,0.9002
blondtrip24,ladyancy96,0.8986
Bad Boy,Maverick SOB,0.8850
Michael Jonson,Rupert Beae,0.8677
Goose,Maverick SOB,0.8489
Big Boss,Maverick SOB,0.8460
Bad Boy,Maverick,0.8366
Bad Boy,Goose System,0.8364
Bad Boy,Big Boss,0.8327
Bad Boy,Maverick.4444,0.8245
Goose,Maverick,0.8228
Maverick SOB,Rupert Beae,0.8191
Big Boss,Maverick,0.8177
Goose,Goose System,0.8134
Rupert Beae,status@broadcast,0.8121
Big Boss,Maverick.4444,0.8081
Maverick SOB,Maverick.4444,0.8022
Telegram,Unmatched Telegram User,0.8020
Jose Topgun,Rupert Beae,0.8002
46708275344@s.whatsapp.net,Goose,0.7971
Maverick,Maverick.4444,0.7970
46708275344@s.whatsapp.net,Bad Boy,0.7970
Big Boss,Goose System,0.7969
Bad Boy,Mike.Jonson,0.7962
