,Bad Boy,Big Boss,Goldfinger,Goldy Finger,Goose,Goose System,Jose Topgun,Maverick,Maverick SOB,Maverick.4444
Bad Boy,0.0,0.0,0.0,0.0,9.0,20.0,0.0,22.0,44.0,9.0
Big Boss,0.0,0.0,0.0,0.0,0.0,7.0,0.0,17.0,20.0,0.0
Goldfinger,0.0,0.0,0.0,7.0,0.0,7.0,0.0,9.0,14.0,0.0
Goldy Finger,0.0,0.0,7.0,0.0,0.0,6.0,0.0,7.0,7.0,0.0
Goose,9.0,0.0,0.0,0.0,0.0,12.0,6.0,16.0,22.0,0.0
Goose System,20.0,7.0,7.0,6.0,12.0,0.0,12.0,59.0,50.0,0.0
Jose Topgun,0.0,0.0,0.0,0.0,6.0,12.0,0.0,11.0,12.0,0.0
Maverick,22.0,17.0,9.0,7.0,16.0,59.0,11.0,0.0,70.0,10.0
Maverick SOB,44.0,20.0,14.0,7.0,22.0,50.0,12.0,70.0,0.0,19.0
Maverick.4444,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,0.0
