Sender,status@broadcast,Unmatched Telegram User,Rupert Beae,Michael Jonson,Big Boss,Maverick SOB,Telegram,Goldfinger,Goldy Finger,Goose System,Goose,Maverick,Jose Topgun,Twilight G,Dadusko,Twi Grey,Twilight Grey,46708275344@s.whatsapp.net,Bad Boy,Mike Jonson,Maverick.4444,kikteam,Goose.4444,TwilightGrey,Mike.Jonson,ladyancy96,Gooooosssse,maverick,KakaoTalk,blondtrip24,Goldfinger SOB,KakaoKalk
status@broadcast,,,0.8809060016412875,0.5244044240850758,,0.6465418966078184,,,0.727219385345345,0.5417070500177872,0.5238259158973845,0.5355702699920977,0.7845050861752688,,,,,0.5175543269217214,,,,,,,,,,,,,,
Unmatched Telegram User,,0.9999999999999942,,,0.5347397884909438,,0.7109063036621835,,,,,,,,,,,,,,0.6226779745731832,,,,,,,,,,,
Rupert Beae,0.8809060016412875,,,0.5280171680733521,,0.8002001483924795,,0.5911499512015859,0.7657596063897495,0.704514347957418,0.6345381888933449,0.724764612333647,0.8442944390000954,,,,0.5264523614153441,0.7015477988605268,0.6136893483457481,,,,,,,,,,,,,
Michael Jonson,0.5244044240850758,,0.5280171680733521,0.9999999999999993,,0.5359465224452948,,,,0.50237443056295,,0.5006212599550326,0.5916527721025189,,,,,,,,,,,,,,,,,,,
Big Boss,,0.5347397884909438,,,0.9999999999999987,0.7562139807329141,,0.5982776758156135,,0.6834239787667005,0.5702303141199527,0.7402088529579434,0.5564962611872791,0.656070105396397,,,0.6353812989385913,0.6969927923390017,0.7390884656959129,0.5453294336764343,0.7921358577681017,0.5092588379184578,0.6125656418404656,,0.655730265168021,0.5892929541021197,0.542531094003886,,,0.6697517217490669,,
Maverick SOB,0.6465418966078184,,0.8002001483924795,0.5359465224452948,0.7562139807329141,,,0.7267459396789263,0.7557055508600128,0.870935098992513,0.7482198937194522,0.9007866899552163,0.8254505679587905,0.6211831205215375,,,0.6958973148852435,0.8505422218016738,0.8551402989562232,0.5024344331184664,0.7304892391249606,,0.5830629454360963,,0.5648567343488119,,,,,0.5687310343863157,,
Telegram,,0.7109063036621835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldfinger,,,0.5911499512015859,,0.5982776758156135,0.7267459396789263,,0.9999999999999977,0.6730376050055848,0.727291386106258,0.608289306196523,0.7212317458029767,0.6147872237183287,,,,0.6537062149105304,0.6982288693135608,0.623266622768414,,0.5804999214815691,,0.5169101761723492,,,,,,,,,
Goldy Finger,0.727219385345345,,0.7657596063897495,,,0.7557055508600128,,0.6730376050055848,0.9999999999999989,0.6943071801284912,0.6201936978323738,0.6994137179728169,0.7625948864600207,,,,0.5786090338106746,0.6736501757931456,0.5983798283585329,,,,,,,,,,,,,
Goose System,0.5417070500177872,,0.704514347957418,0.50237443056295,0.6834239787667005,0.870935098992513,,0.727291386106258,0.6943071801284912,,0.7297070677721602,0.8859128063083531,0.7464767035906658,0.5636486999138458,,,0.6878215464836577,0.8625615845984345,0.7800373786594849,,0.716740914418797,,0.5323802992903012,,0.5166183639562408,,,,,,,
