,46708275344@s.whatsapp.net,Bad Boy,Big Boss,Goldfinger,Goldy Finger,Gooooosssse,Goose,Goose System,Goose.4444,Jose Topgun,Maverick,Maverick SOB,Maverick.4444,Michael Jonson,Mike Jonson,Mike.Jonson,Rupert Beae,Twilight G,Twilight Grey,blondtrip24,maverick,status@broadcast
46708275344@s.whatsapp.net,,,,,,,,,,,,,,,,,,,,,,
Bad Boy,,0.0,0.0,1.0,0.0,,4.0,4.0,1.0,0.0,4.0,7.0,,0.0,,1.0,1.0,,,,,
Big Boss,,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,5.0,4.0,,0.0,,0.0,1.0,,,,,
Goldfinger,,1.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,2.0,1.0,,0.0,,0.0,2.0,,,,,
Goldy Finger,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,0.0,5.0,,,,,
Gooooosssse,,,,,,,,,,,,,,,,,,,,,,
Goose,,4.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,4.0,4.0,,0.0,,1.0,0.0,,,,,
Goose System,,4.0,2.0,1.0,0.0,,2.0,0.0,0.0,2.0,17.0,13.0,,0.0,,0.0,5.0,,,,,
Goose.4444,,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,,,,,
Jose Topgun,,0.0,0.0,0.0,1.0,,1.0,2.0,0.0,0.0,1.0,0.0,,1.0,,0.0,1.0,,,,,
Maverick,,4.0,5.0,2.0,0.0,,4.0,17.0,0.0,1.0,0.0,20.0,,5.0,,1.0,1.0,,,,,
Maverick SOB,,7.0,4.0,1.0,1.0,,4.0,13.0,1.0,0.0,20.0,0.0,,0.0,,1.0,5.0,,,,,
Maverick.4444,,,,,,,,,,,,,,,,,,,,,,
Michael Jonson,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,5.0,0.0,,0.0,,0.0,1.0,,,,,
Mike Jonson,,,,,,,,,,,,,,,,,,,,,,
Mike.Jonson,,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,,0.0,,0.0,0.0,,,,,
Rupert Beae,,1.0,1.0,2.0,5.0,,0.0,5.0,0.0,1.0,1.0,5.0,,1.0,,0.0,0.0,,,,,
Twilight G,,,,,,,,,,,,,,,,,,,,,,
Twilight Grey,,,,,,,,,,,,,,,,,,,,,,
blondtrip24,,,,,,,,,,,,,,,,,,,,,,
maverick,,,,,,,,,,,,,,,,,,,,,,
status@broadcast,,,,,,,,,,,,,,,,,,,,,,
